epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,166.989,1.46385,1.04259,1.27246,0.70059,0.55263,0.63948,0.32307,1.67933,1.28408,1.45434,0.002822,0.002822,0.002822
90,168.816,1.44373,1.07498,1.31545,0.70059,0.55263,0.63948,0.32307,1.67933,1.28408,1.45434,0.00279725,0.00279725,0.00279725
91,170.16,1.41573,1.02876,1.28857,0.78687,0.49474,0.63507,0.32908,1.68564,1.23635,1.44057,0.0027725,0.0027725,0.0027725
92,171.625,1.41886,1.0534,1.30981,0.73198,0.54737,0.64866,0.32385,1.69451,1.23514,1.4413,0.00274775,0.00274775,0.00274775
93,173.099,1.4098,1.05743,1.28375,0.73198,0.54737,0.64866,0.32385,1.69451,1.23514,1.4413,0.002723,0.002723,0.002723
94,174.728,1.43299,1.04614,1.28684,0.80011,0.52105,0.66118,0.32747,1.67471,1.21989,1.41876,0.00269825,0.00269825,0.00269825
95,176.156,1.42894,1.06099,1.29387,0.73183,0.56842,0.66453,0.33429,1.66873,1.21436,1.42216,0.0026735,0.0026735,0.0026735
96,177.616,1.42485,1.06341,1.28949,0.73183,0.56842,0.66453,0.33429,1.66873,1.21436,1.42216,0.00264875,0.00264875,0.00264875
97,179.942,1.42523,1.07375,1.31748,0.7356,0.52632,0.64173,0.32584,1.70399,1.21924,1.44031,0.002624,0.002624,0.002624
98,182.302,1.38577,1.03868,1.25571,0.7356,0.52632,0.64173,0.32584,1.70399,1.21924,1.44031,0.00259925,0.00259925,0.00259925
99,183.676,1.40326,1.0422,1.29316,0.70106,0.54737,0.64838,0.32617,1.71329,1.20338,1.45528,0.0025745,0.0025745,0.0025745
100,185.402,1.39066,1.03202,1.27436,0.68318,0.55789,0.63491,0.33016,1.69398,1.18418,1.43631,0.00254975,0.00254975,0.00254975
101,186.801,1.30992,1.01953,1.27788,0.68318,0.55789,0.63491,0.33016,1.69398,1.18418,1.43631,0.002525,0.002525,0.002525
102,188.209,1.3724,1.01399,1.25746,0.61218,0.58421,0.63477,0.33692,1.70202,1.17058,1.44028,0.00250025,0.00250025,0.00250025
103,189.679,1.27443,0.97241,1.23865,0.71095,0.55263,0.63118,0.32699,1.75083,1.19983,1.46316,0.0024755,0.0024755,0.0024755
104,191.182,1.38649,1.00966,1.25333,0.71095,0.55263,0.63118,0.32699,1.75083,1.19983,1.46316,0.00245075,0.00245075,0.00245075
105,193.424,1.36203,1.00463,1.25317,0.72799,0.54737,0.64347,0.33774,1.74569,1.1937,1.45351,0.002426,0.002426,0.002426
106,195.751,1.3646,0.99433,1.26277,0.72799,0.54737,0.64347,0.33774,1.74569,1.1937,1.45351,0.00240125,0.00240125,0.00240125
107,197.558,1.43574,1.02631,1.28945,0.70437,0.54737,0.64247,0.33569,1.7261,1.20591,1.44327,0.0023765,0.0023765,0.0023765
108,198.99,1.34145,1.00514,1.27407,0.73161,0.54519,0.65217,0.33315,1.72171,1.19055,1.4535,0.00235175,0.00235175,0.00235175
